"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-09-13_10-00-01","114.0","51.0","52.0","11.0","13","1"
"192_168_4_5-2020-09-10_12-00-01","796.0","396.0","355.0","45.0","27","9"
"192_168_4_5-2020-09-06_13-00-01","1621.0","710.0","783.0","128.0","21","5"
"192_168_4_5-2020-10-02_23-15-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-10-02_11-00-01","46.0","11.0","14.0","21.0","13","1"
"192_168_4_5-2020-09-10_23-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-25_17-30-01","2180.0","869.0","916.0","395.0","17","5"
"192_168_4_5-2020-10-01_23-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-28_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-09_13-30-01","2456.0","1074.0","1112.0","270.0","27","11"
"192_168_4_5-2020-09-05_20-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-10-02_09-30-01","30.0","8.0","7.0","15.0","13","1"
"192_168_4_5-2020-09-21_09-00-01","130.0","67.0","50.0","13.0","13","3"
"192_168_4_5-2020-09-07_13-00-01","1042.0","484.0","466.0","92.0","25","5"
"192_168_4_5-2020-09-11_08-30-01","156.0","55.0","77.0","24.0","13","3"
"192_168_4_5-2020-09-22_08-30-01","36.0","16.0","14.0","6.0","17","1"
"192_168_4_5-2020-09-02_17-15-01","682.0","260.0","369.0","53.0","27","7"
"192_168_4_5-2020-09-27_22-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-10-02_07-45-01","54.0","24.0","21.0","9.0","13","3"
"192_168_4_5-2020-09-07_14-00-01","2206.0","927.0","957.0","322.0","27","13"
"192_168_4_5-2020-09-12_09-00-01","59.0","23.0","27.0","9.0","15","1"
"192_168_4_5-2020-09-16_10-45-01","597.0","267.0","286.0","44.0","13","1"
"192_168_4_5-2020-10-01_17-45-01","403.0","148.0","216.0","39.0","13","3"
"192_168_4_5-2020-09-02_08-30-01","4.0","0.0","4.0","0.0","13","1"
"192_168_4_5-2020-09-30_13-15-01","1242.0","565.0","578.0","99.0","15","1"
"192_168_4_5-2020-08-29_14-15-01","1926.0","801.0","793.0","332.0","21","3"
"192_168_4_5-2020-09-21_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-18_19-00-01","673.0","284.0","295.0","94.0","13","3"
"192_168_4_5-2020-09-09_14-00-01","2061.0","906.0","971.0","184.0","27","11"
"192_168_4_5-2020-09-17_21-15-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-29_22-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-27_20-00-01","555.0","167.0","171.0","217.0","13","1"
