"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-07-09_16-45-01","3306.0","1506.0","1480.0","320.0","27","13"
"192_168_4_5-2020-07-16_19-30-01","1524.0","514.0","842.0","168.0","27","13"
"192_168_4_5-2020-07-16_20-30-02","643.0","177.0","255.0","211.0","23","1"
"192_168_4_5-2020-07-11_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-24_13-45-01","896.0","408.0","404.0","84.0","23","1"
"192_168_4_5-2020-06-23_19-15-01","4241.0","1602.0","1985.0","654.0","25","15"
"192_168_4_5-2020-06-28_19-00-01","64.0","20.0","32.0","12.0","13","1"
"192_168_4_5-2020-06-26_14-30-01","1139.0","506.0","542.0","91.0","23","1"
"192_168_4_5-2020-06-24_20-15-01","1260.0","538.0","635.0","87.0","23","1"
"192_168_4_5-2020-06-24_09-30-01","590.0","243.0","250.0","97.0","23","1"
"192_168_4_5-2020-07-10_11-45-01","779.0","308.0","334.0","137.0","23","1"
"192_168_4_5-2020-07-03_19-00-01","968.0","355.0","513.0","100.0","27","7"
"192_168_4_5-2020-06-25_19-45-01","1214.0","383.0","480.0","351.0","21","5"
"192_168_4_5-2020-07-13_21-00-01","875.0","350.0","368.0","157.0","13","1"
"192_168_4_5-2020-07-08_07-00-01","50.0","22.0","18.0","10.0","13","3"
"192_168_4_5-2020-07-07_07-45-01","418.0","173.0","217.0","28.0","23","1"
"192_168_4_5-2020-07-04_07-00-01","535.0","243.0","239.0","53.0","23","1"
"192_168_4_5-2020-07-08_16-45-01","2396.0","1086.0","1038.0","272.0","27","13"
"192_168_4_5-2020-07-17_17-00-01","5512.0","2534.0","2418.0","560.0","27","15"
"192_168_4_5-2020-07-14_12-45-01","1195.0","542.0","588.0","65.0","25","5"
"192_168_4_5-2020-07-03_21-45-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-01_10-00-01","765.0","289.0","327.0","149.0","25","3"
"192_168_4_5-2020-07-11_22-00-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-18_07-15-01","1099.0","476.0","500.0","123.0","17","3"
"192_168_4_5-2020-07-08_20-15-01","844.0","211.0","454.0","179.0","23","1"
"192_168_4_5-2020-07-03_18-45-01","2395.0","920.0","1128.0","347.0","27","11"
"192_168_4_5-2020-07-12_12-45-01","744.0","312.0","344.0","88.0","23","1"
"192_168_4_5-2020-06-27_12-45-01","1474.0","637.0","707.0","130.0","21","3"
"192_168_4_5-2020-06-29_18-45-01","801.0","318.0","370.0","113.0","27","5"
"192_168_4_5-2020-07-09_23-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-09_23-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-16_11-30-01","722.0","270.0","360.0","92.0","23","1"
"192_168_4_5-2020-07-01_13-00-01","3572.0","1422.0","1348.0","802.0","25","13"
"192_168_4_5-2020-07-03_18-30-01","934.0","347.0","380.0","207.0","27","3"
"192_168_4_5-2020-06-25_16-45-01","4054.0","1711.0","1759.0","584.0","27","13"
"192_168_4_5-2020-07-08_15-00-01","1077.0","452.0","528.0","97.0","25","7"
"192_168_4_5-2020-07-09_17-00-01","3028.0","1407.0","1236.0","385.0","27","13"
"192_168_4_5-2020-06-25_15-15-01","999.0","466.0","468.0","65.0","27","3"
"192_168_4_5-2020-07-10_14-15-01","1490.0","546.0","544.0","400.0","25","11"
